accurateCrosses,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accuratePasses,accuratePassesAgainst,aerialDuelsWon,assists,averageBallPossession,avgRating,awardedMatches,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsScored,groundDuelsWon,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPassesAgainst,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,yellowCards,yellowCardsAgainst,yellowRedCards,home,draw,away,id
12,266,72,617,473,867,720,1472,1187,-23,3,5,0.03170062695929943,0,13,15,11,12,7,15,0,10,38,1,1,4,6,28,89,79,28,101,-1,2,2,1,0,5,5,-8,0,1,5,5,0,6,124,1,3,-4,21,62,-14,0,0,51,91,2,-2,8,644,2,797,-1,0,0,-1,316,-1,-1,4,-1,17,-14,-12,28,9,-11,-23,-2,-5,14,3,45,75,53,-22,31,178,381,200,131,706,964,1639,1413,-6,2,0,1,0,0,10157518
19,-84,82,930,-187,582,374,1493,184,38,5,8,0.049664192294099685,0,5,5,1,-3,2,-2,0,20,87,0,32,7,3,15,9,-2,-10,97,1,3,0,0,1,3,4,19,0,2,7,4,3,7,59,-3,6,0,-15,56,-18,0,3,84,255,2,-1,11,-21,0,452,4,3,2,4,326,-1,1,7,3,93,-20,-18,55,-12,38,-8,50,-12,21,10,9,20,36,123,71,223,-3,100,140,1154,627,1710,416,1,15,0,1,0,0,10157516
7,307,20,295,664,-9,340,279,1000,74,0,-6,0.020526619258100176,0,-2,2,2,3,2,1,2,50,49,1,1,7,4,27,-5,39,19,110,-3,-1,-1,1,0,2,2,26,0,0,-1,-2,0,-2,36,1,1,0,39,11,24,0,-1,68,210,2,6,0,932,0,449,1,0,0,1,501,0,-2,-2,8,-3,35,14,-12,11,9,24,12,14,-12,8,-16,34,2,166,34,242,452,76,73,572,92,630,1357,5,-9,1,0,0,1,10157540
-12,94,20,179,245,744,424,935,657,12,3,-1,-0.14114774114780015,0,0,10,-1,9,-5,7,-1,21,14,0,13,15,12,31,34,21,25,80,-1,0,0,0,1,1,2,27,0,4,4,4,1,4,68,3,1,2,20,-31,24,-1,2,42,113,2,11,1,407,0,450,0,0,0,0,227,1,1,0,7,16,24,7,9,17,7,7,1,6,2,11,17,1,19,46,5,180,180,134,87,284,796,1075,826,14,6,0,1,0,0,10157545
20,76,118,176,137,1001,-127,1157,2,15,-1,10,-0.17484614031999968,0,-7,8,-6,5,-9,2,-4,12,36,1,19,10,8,27,45,-50,-12,68,0,4,1,0,0,-2,-2,14,0,-3,10,2,0,2,53,0,0,-2,24,14,23,0,0,-44,-20,2,2,2,262,0,-224,0,-1,0,0,152,0,2,2,-4,-3,27,13,-1,18,-2,9,-7,7,1,7,24,-27,42,56,55,158,214,102,138,177,1082,1204,11,11,17,0,1,0,0,10157541
21,45,38,262,274,51,2,292,267,56,-5,0,0.08655357485150006,0,-4,7,-5,3,2,7,1,11,75,1,13,-4,9,22,31,36,6,180,0,2,1,-1,-1,-2,-3,41,0,3,0,-4,1,-3,124,0,1,4,29,43,9,0,1,14,118,2,12,12,466,1,160,1,-1,0,1,510,2,2,-4,2,59,18,0,30,26,29,-8,34,17,16,1,19,64,25,119,86,314,136,195,95,614,111,639,604,12,18,1,0,0,1,10157538
0,358,47,-148,783,-163,896,-311,1659,-18,11,-15,0.07871198568869975,0,7,7,11,6,0,5,-1,62,30,0,25,35,20,58,70,21,2,60,0,1,1,-1,1,4,5,-5,0,0,3,7,3,11,78,1,-1,-2,7,37,28,0,2,108,171,2,-9,-3,902,0,940,0,0,0,0,246,0,0,7,8,22,38,20,13,29,9,9,1,7,7,11,30,22,55,-33,30,96,444,129,21,-59,-108,-197,1784,2,0,0,1,0,0,10157536
-34,-159,-99,-696,-426,-408,-703,-1070,-1107,-45,-2,6,0.07948051948049972,0,-5,-2,0,-2,-1,-1,-1,-40,-58,1,-16,-8,-22,-52,-58,-31,-23,-153,1,-1,-1,-1,0,-1,-1,-53,1,1,-5,-4,1,-3,-108,-1,-2,0,-19,-36,-29,0,-2,-78,-169,-3,-1,-5,-589,-1,-774,0,-2,-2,0,-356,-1,0,0,-10,-70,-38,-4,-38,-25,-32,-13,-37,-21,-10,-13,-44,-26,-47,-82,-91,-309,-236,-227,-146,-914,-457,-1280,-1311,-10,-9,-1,1,0,0,10157546
-15,-226,-93,-1025,-441,-797,-379,-1807,-803,-77,-5,-12,0.1361290322580997,0,-8,-12,-3,-7,-3,-8,-1,-48,-116,-3,-32,-13,-17,-43,-111,-83,-50,-232,-1,1,-1,0,-1,-1,-2,-58,0,1,-5,-8,0,-8,-155,-3,-5,1,-40,-53,-33,0,-2,-88,-246,-4,-10,-4,-787,0,-492,-2,-2,-2,-2,-678,0,-1,-2,-15,-65,-50,-7,-39,-31,-26,-19,-28,-20,-25,-23,-69,-55,-73,-152,-94,-486,-400,-334,-188,-1381,-922,-2209,-1236,-4,-9,0,1,0,0,10157531
-17,-336,-87,-672,-699,-844,-639,-1499,-1324,-80,-7,2,0.03966547192360004,0,-15,-9,-9,-8,-6,-7,-1,-58,-59,-2,-12,-22,-14,-51,-28,-59,-31,-177,0,-2,0,0,0,-2,-2,-56,0,0,-4,-10,-2,-13,-97,-3,-6,1,-32,-42,-40,0,-4,-90,-249,-4,-4,-14,-982,0,-770,0,-2,-2,0,-533,-1,-1,-5,-4,-60,-52,-16,-40,-29,-20,-23,-20,-26,-26,-10,-11,-52,-19,-148,-51,-345,-488,-197,-169,-1018,-929,-1896,-1701,-11,-13,0,0,1,0,10157537
-6,1263,-89,-3440,2374,-1441,1058,-4875,3402,-13,-25,-16,-0.3740867848600997,0,-43,37,-35,27,-20,12,-8,120,-81,2,-40,63,30,166,-24,89,58,12,-2,-1,1,6,1,-6,-5,-14,-1,-6,40,-32,-6,-37,25,-6,-5,4,22,-35,154,1,-14,196,139,1,-7,-12,2616,1,1051,6,-5,-5,4,203,0,0,-18,29,-110,190,56,-95,133,-15,57,-25,64,-58,70,-39,27,-27,92,-72,133,1339,41,50,-3307,-1410,-4645,3501,3,-10,1,0,0,1,9576461
-11,-575,-57,1443,-1760,673,-209,2127,-1979,25,4,9,0.08685148577740076,0,17,-2,13,5,13,-1,3,19,71,0,44,15,10,47,28,-34,-6,48,-4,0,-2,7,0,-6,-5,47,-1,5,-5,5,-1,4,23,0,1,1,63,54,-48,0,1,60,186,1,-7,10,-1563,-1,42,-4,2,2,-3,511,0,-1,3,7,41,-57,-38,28,-22,13,-35,4,-24,30,5,27,-17,19,108,45,195,-571,87,-31,1785,722,2462,-1568,-13,-3,0,0,0,1,10144889
-10,-28,150,1271,-287,1525,-441,2806,-700,-172,-9,7,0.18677407212219954,0,0,-17,-7,-18,3,-6,6,-42,15,-2,4,4,-28,-11,31,47,32,-70,-1,0,3,-2,-2,-5,-7,-68,1,-5,-27,-10,6,-3,102,-5,3,-7,-6,34,-41,0,2,-168,-355,0,17,8,-385,-1,-644,1,-1,0,2,-296,-1,1,-1,18,-17,-45,-16,-14,-25,-3,-20,-9,-21,-11,-8,49,58,-48,-348,-34,-323,-67,25,184,897,1738,2669,-1018,-2,15,-1,1,0,0,10144893
-8,-293,102,261,-746,1476,-1101,1745,-1835,-90,-10,9,-0.10509863776849926,0,5,20,-1,19,4,3,-5,-17,-9,1,-4,-25,-12,-87,78,102,53,-81,0,2,2,7,-3,3,0,46,1,-3,24,-7,1,-8,9,-2,11,2,52,39,65,0,8,-135,-57,1,16,6,-631,0,-1104,0,2,2,2,455,-1,1,-12,35,72,82,15,31,42,41,40,31,8,18,59,16,80,46,-63,33,92,-127,155,183,393,1734,2094,-1648,19,-8,-1,0,0,1,10144887
-28,-293,21,706,-905,-512,-121,222,-1051,-16,0,4,0.00297003065160073,0,15,3,8,-3,7,3,1,-17,23,0,-4,-10,25,14,51,89,44,120,-1,-4,-1,1,1,2,3,36,1,-1,-6,9,0,8,136,-4,-1,-6,-50,-1,-4,-1,0,-45,-38,0,22,0,-1097,-3,-99,1,3,4,-1,43,5,5,12,-8,-10,-11,8,4,10,-14,-21,-19,-8,8,-11,37,85,46,-42,-27,220,-488,262,-70,660,-581,106,-1210,7,-6,2,1,0,0,10089497
-14,286,-136,-209,394,-420,-31,-615,329,-89,6,-3,-0.02944440236319945,0,5,-11,-6,-9,-1,-7,-4,48,12,-1,-3,11,34,67,37,117,42,28,0,2,-2,1,1,6,7,-50,0,4,8,10,3,14,117,4,-9,-8,-25,46,44,0,7,-3,-48,0,3,-3,336,3,5,0,5,3,1,54,4,0,2,2,56,65,14,40,44,16,21,18,43,28,8,31,60,9,-149,-55,-35,247,114,-159,-209,-425,-579,274,5,16,2,0,1,0,10089498
